name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Filipa Martins,gymnastics,POR,female,09/01/1996,20.6,1.63,55
Telma Santos,badminton,POR,female,01/08/1983,33,1.63,55
David Belyavskiy,gymnastics,RUS,male,23/02/1992,24.5,1.63,55
Tianwei Feng,table tennis,SIN,female,31/08/1986,30,1.63,55
Xiao Yu Liang,badminton,SIN,female,11/01/1996,20.6,1.63,55
Aleksandra Krunic,tennis,SRB,female,15/03/1993,23.4,1.63,55
Brooke Crain,cycling,USA,female,29/04/1993,23.3,1.63,55
Norisbeth Agudo,volleyball,VEN,female,22/05/1992,24.2,1.63,55
Ana Roqica,rugby sevens,FIJ,female,02/02/1988,28.5,1.62,55
Marcel Nguyen,gymnastics,GER,male,08/09/1987,28.9,1.62,55
Pauline Schaefer,gymnastics,GER,female,04/01/1997,19.6,1.62,55
Evelyne Tschopp,judo,SUI,female,19/06/1991,25.1,1.62,55
Phuoc Hung Pham,gymnastics,VIE,male,10/06/1988,28.2,1.62,55
Amanda Spratt,cycling,AUS,female,17/09/1987,28.9,1.61,55
Geisa Aparecida Coutinho,athletics,BRA,female,01/06/1980,36.2,1.61,55
Pamela Ware,aquatics,CAN,female,12/02/1993,23.5,1.61,55
Carolina Arbelaez,football,COL,female,08/03/1995,21.4,1.61,55
Maialen Chourraut,canoe,ESP,female,08/03/1983,33.4,1.61,55
Song I Kim,table tennis,PRK,female,10/08/1994,22,1.61,55
Julia Reinprecht,hockey,USA,female,12/07/1991,25.1,1.61,55
Artur Davtyan,gymnastics,ARM,male,08/08/1992,24,1.6,55
Nary Ly,athletics,CAM,female,06/06/1972,44.2,1.6,55
Lu Li,canoe,CHN,female,18/02/1992,24.5,1.6,55
Rahel Fseha Gebresilassie,aquatics,ETH,female,03/11/1995,20.8,1.6,55
Timaima Ravisa,rugby sevens,FIJ,female,01/05/1988,28.3,1.6,55
Sakina Karchaoui,football,FRA,female,26/01/1996,20.5,1.6,55
Irina Sazonova,gymnastics,ISL,female,02/09/1991,24.9,1.6,55
Tatiana Guderzo,cycling,ITA,female,22/08/1984,32,1.6,55
Valentina Truppa,equestrian,ITA,female,18/03/1986,30.4,1.6,55
Sashalee Forbes,athletics,JAM,female,10/05/1996,20.3,1.6,55
Yumi Kida,aquatics,JPN,female,30/06/1985,31.1,1.6,55
Shehzana Anwar,archery,KEN,female,21/08/1989,27,1.6,55
Ivan Garcia,aquatics,MEX,male,25/10/1993,22.8,1.6,55
Carmen Patricia Martinez,athletics,PAR,female,26/12/1982,33.6,1.6,55
Dalal Mesfer Al Harith,athletics,QAT,female,28/11/1999,16.7,1.6,55
Margret Hassan,athletics,SSD,female,12/08/1997,19,1.6,55
Pornanong Phatlum,golf,THA,female,04/12/1989,26.7,1.6,55
Betlhem Desalegn,athletics,UAE,female,11/11/1991,24.8,1.6,55
Emily Smith,hockey,AUS,female,28/07/1992,24,1.59,55
Daiene Marcal,aquatics,BRA,female,16/05/1989,27.2,1.59,55
Joseph Emilienne Essombe Tiako,wrestling,CMR,female,22/03/1988,28.4,1.59,55
Nadine Hildebrand,athletics,GER,female,20/09/1987,28.9,1.59,55
Brenda Yamyleth Bailey Gomez,wrestling,HON,female,11/09/1994,21.9,1.59,55
Maria Elisabetta Marconi,aquatics,ITA,female,28/08/1984,32,1.59,55
Yadira Silva,table tennis,MEX,female,24/12/1985,30.6,1.59,55
Andreea Arsine,athletics,ROU,female,14/09/1988,27.9,1.59,55
Refiloe Jane,football,RSA,female,04/08/1992,24,1.59,55
Sinphet Kruaithong,weightlifting,THA,male,22/08/1995,21,1.59,55
Rahma Ben Ali,taekwondo,TUN,female,15/09/1993,22.9,1.59,55
Tameka Butt,football,AUS,female,16/06/1991,25.2,1.58,55
Marcela Maric,aquatics,CRO,female,18/10/1996,19.8,1.58,55
Laurence Brize,shooting,FRA,female,12/07/1976,40.1,1.58,55
Monika Karsch,shooting,GER,female,22/12/1982,33.6,1.58,55
Bernadette Pujals,equestrian,MEX,female,08/06/1968,48.2,1.58,55
Nestor Colonia,weightlifting,PHI,male,16/02/1992,24.5,1.58,55
Sparkle McKnight,athletics,TTO,female,21/12/1991,24.6,1.58,55
Lisa Ecker,gymnastics,AUT,female,19/09/1992,23.9,1.57,55
Debinha,football,BRA,female,20/10/1991,24.8,1.57,55
Katherine Driscoll,gymnastics,GBR,female,13/03/1986,30.4,1.57,55
Saori Yoshida,wrestling,JPN,female,05/10/1982,33.9,1.57,55
Akane Yamaguchi,badminton,JPN,female,06/06/1997,19.2,1.56,55
Farah Boufadene,gymnastics,ALG,female,11/03/1999,17.4,1.55,55
Kadra Mohamed Dembil,athletics,DJI,female,22/04/1997,19.3,1.55,55
Tsholofelo Thipe,athletics,RSA,female,09/12/1986,29.7,1.53,55
Laura Unsworth,hockey,GBR,female,08/03/1988,28.4,1.52,55
