name,sport,nationality,sex,date_of_birth,age,height,weight
Tarasue Barnett,Athletics,JAM,female,10/09/1993,22.9,1.78,81
Sohsuke Takatani,Wrestling,JPN,male,05/04/1989,27.4,1.78,81
Seungsu Lee,Judo,KOR,male,20/07/1990,26.1,1.78,81
Khalid El Aabidi,Weightlifting,MAR,male,14/09/1995,20.9,1.78,81
Uuganbaatar Otgonbaatar,Judo,MGL,male,19/02/1988,28.5,1.78,81
Fernando Pimenta,Canoe,POR,male,13/08/1989,27,1.78,81
Pavel Eigel,Canoe,RUS,male,01/03/1990,26.4,1.78,81
Andrew Thomas Bisek,Wrestling,USA,male,18/08/1986,30,1.78,81
Tom Pelsmaekers,Sailing,BEL,male,26/01/1993,23.5,1.77,81
Loic Pietri,Judo,FRA,male,27/08/1990,26,1.77,81
Andreas Loew,Shooting,GER,male,19/01/1982,34.6,1.77,81
Roman Moustopoulos,Judo,GRE,male,02/03/1993,23.4,1.77,81
Robel Kiros Habte,Aquatics,ETH,male,13/04/1992,24.3,1.76,81
Gurpreet Singh,Shooting,IND,male,19/12/1987,28.6,1.76,81
Shengbo Zhao,Shooting,CHN,male,14/04/1982,34.3,1.75,81
Mohamed Abdelaal,Judo,EGY,male,23/07/1990,26.1,1.75,81
Josateki Naulu,Judo,FIJ,male,08/06/1984,32.2,1.75,81
Jessica Inchude,Athletics,GBS,female,25/03/1996,20.4,1.75,81
Rusheen McDonald,Athletics,JAM,male,17/08/1992,24,1.75,81
Valeriu Duminica,Judo,MDA,male,08/04/1987,29.3,1.75,81
Rafal Sarnecki,Cycling,POL,male,08/01/1990,26.6,1.75,81
Victor Penalber,Judo,BRA,male,22/05/1990,26.2,1.74,81
Ahmed Ragab,Sailing,EGY,male,29/09/1991,24.9,1.74,81
Jerry Tuwai,Rugby Sevens,FIJ,male,23/03/1989,27.4,1.74,81
Rosko Specman,Rugby Sevens,RSA,male,28/04/1989,27.3,1.74,81
Emmanuel Lucenti,Judo,ARG,male,23/11/1984,31.7,1.73,81
Dagmara Wozniak,Fencing,USA,female,01/07/1988,28.1,1.73,81
Vatemo Ravouvou,Rugby Sevens,FIJ,male,31/07/1990,26,1.71,81
Chiara Cainero,Shooting,ITA,female,24/03/1978,38.4,1.71,81
Crispin Duenas,Archery,CAN,male,05/01/1986,30.6,1.7,81
Yannick Agnel,Aquatics,FRA,male,09/06/1992,24.2,2.01,80
Konstadinos Baniotis,Athletics,GRE,male,06/11/1986,29.8,2.01,80
Mohamed Amer,Fencing,EGY,male,18/12/1997,18.6,1.99,80
Oussama Oueslati,Taekwondo,TUN,male,24/03/1996,20.4,1.99,80
Ruslan Zhaparov,Taekwondo,KAZ,male,27/05/1996,20.2,1.98,80
Milad Beigi Harchegani,Taekwondo,AZE,male,01/03/1991,25.4,1.97,80
Ahmed El Kotb,Volleyball,EGY,male,23/07/1991,25.1,1.97,80
William Fox-Pitt,Equestrian,GBR,male,02/01/1969,47.6,1.96,80
Fitzroy Dunkley,Athletics,JAM,male,20/05/1993,23.2,1.96,80
Merdan Atayev,Aquatics,TKM,male,08/05/1995,21.3,1.96,80
Taylor Sander,Volleyball,USA,male,17/03/1992,24.4,1.96,80
Brendon Rodney,Athletics,CAN,male,09/04/1992,24.3,1.95,80
Samuel Schachter,Volleyball,CAN,male,08/05/1990,26.3,1.95,80
Benoit Paire,Tennis,FRA,male,08/05/1989,27.3,1.94,80
Chris Baker,Athletics,GBR,male,02/02/1991,25.5,1.94,80
Clarke Johnstone,Equestrian,NZL,male,26/04/1987,29.3,1.94,80
Andriy Protsenko,Athletics,UKR,male,20/05/1988,28.2,1.94,80
Aldemir da Silva Junior,Athletics,BRA,male,08/06/1992,24.2,1.93,80
Miguel Duran Navia,Aquatics,ESP,male,02/09/1995,20.9,1.93,80
Frances Houghton,Rowing,GBR,female,19/09/1980,35.9,1.93,80
Christoph Fildebrandt,Aquatics,GER,male,27/05/1989,27.2,1.93,80
Jacob Stockmann,Hockey,NED,male,24/07/1984,32.1,1.93,80
Rumen Dimitrov,Athletics,BUL,male,19/09/1986,29.9,1.92,80
Ryan Cochrane,Aquatics,CAN,male,29/10/1988,27.8,1.92,80
Jiri Beran,Fencing,CZE,male,18/01/1982,34.6,1.92,80
Karel Lavicky,Sailing,CZE,male,08/11/1985,30.8,1.92,80
Luca Dotto,Aquatics,ITA,male,18/04/1990,26.3,1.92,80
Robin de Kruijf,Volleyball,NED,female,05/05/1991,25.3,1.92,80
Alexander Shibaev,Table Tennis,RUS,male,09/09/1990,25.9,1.92,80
Peer Borsky,Fencing,SUI,male,05/11/1990,25.8,1.92,80
Aliaksandr Buikevich,Fencing,BLR,male,19/11/1984,31.7,1.91,80
Grigor Dimitrov,Tennis,BUL,male,16/05/1991,25.2,1.91,80
Zetao Ning,Aquatics,CHN,male,06/03/1993,23.4,1.91,80
Felipe Aguilar,Football,COL,male,20/01/1993,23.6,1.91,80
Adrian Eduardo Goide Arredondo,Volleyball,CUB,male,26/06/1998,18.1,1.91,80
Michal Balner,Athletics,CZE,male,12/09/1982,33.9,1.91,80
Sergio Rodriguez,Basketball,ESP,male,12/06/1986,30.2,1.91,80
Enzo Lefort,Fencing,FRA,male,29/09/1991,24.9,1.91,80
Ian Stannard,Cycling,GBR,male,25/05/1987,29.2,1.91,80
Lutalo Muhammad,Taekwondo,GBR,male,03/06/1991,25.2,1.91,80
Michal Kubiak,Volleyball,POL,male,23/02/1988,28.5,1.91,80
Joel Pereira,Football,POR,male,28/06/1996,20.1,1.91,80
Diana Reyes,Volleyball,PUR,female,29/04/1993,23.3,1.91,80
Anthony Ervin,Aquatics,USA,male,26/05/1981,35.2,1.91,80
Farid Chaal,Football,ALG,male,03/07/1994,22.1,1.9,80
Robin Seidl,Volleyball,AUT,male,21/01/1990,26.6,1.9,80
Mikita Tsmyh,Aquatics,BLR,male,15/04/1997,19.3,1.9,80
Damiris Dantas,Basketball,BRA,female,17/11/1992,23.7,1.9,80
Diogo Sclebin,Triathlon,BRA,male,06/05/1982,34.3,1.9,80
Andreas Maxso,Football,DEN,male,18/03/1994,22.4,1.9,80
Imanol Erviti Ollo,Cycling,ESP,male,15/11/1983,32.7,1.9,80
Jaak-Heinrich Jagor,Athletics,EST,male,11/05/1990,26.3,1.9,80
Jean Baptiste Bernaz,Sailing,FRA,male,18/07/1987,29.1,1.9,80
Gregor Traber,Athletics,GER,male,02/12/1992,23.7,1.9,80
Piero Codia,Aquatics,ITA,male,22/10/1989,26.8,1.9,80
Bruno Varela,Football,POR,male,04/11/1994,21.8,1.9,80
Tiago Ilori,Football,POR,male,26/02/1993,23.5,1.9,80
Tobias Figueiredo,Football,POR,male,02/02/1994,22.5,1.9,80
Marie-Sadio Rosche,Basketball,SEN,female,10/08/1987,29,1.9,80
Silvio Fernandez,Fencing,VEN,male,09/01/1979,37.6,1.9,80
Julio Peralta,Tennis,CHI,male,09/09/1981,34.9,1.89,80
Mamdouh Taha Abouebaid,Handball,EGY,male,01/01/1988,28.6,1.89,80
Christian Ahlmann,Equestrian,GER,male,17/12/1974,41.7,1.89,80
Dongseon Kim,Equestrian,KOR,male,30/05/1989,27.2,1.89,80
Ladislav Skantar,Canoe,SVK,male,11/02/1983,33.5,1.89,80
Ali Suljic,Football,SWE,male,18/09/1997,18.9,1.89,80
Peder Fredricson,Equestrian,SWE,male,30/01/1972,44.5,1.89,80
Ahmed Akram,Aquatics,EGY,male,20/10/1996,19.8,1.88,80
Albert Ramos-Vinolas,Tennis,ESP,male,17/01/1988,28.6,1.88,80
Dan Wallace,Aquatics,GBR,male,14/04/1993,23.3,1.88,80
Nils Petersen,Football,GER,male,06/12/1988,27.7,1.88,80
Ahmad Hazer,Athletics,LIB,male,04/09/1989,26.9,1.88,80
Jorge Barajas,Volleyball,MEX,male,07/05/1991,25.3,1.88,80
Rutger van Schaardenburg,Sailing,NED,male,08/10/1987,28.8,1.88,80
Antwon Hicks,Athletics,NGR,male,12/03/1983,33.4,1.88,80
Tega Odele,Athletics,NGR,male,06/12/1995,20.7,1.88,80
Edgar Ie,Football,POR,male,01/05/1994,22.3,1.88,80
Devon Myles William Brown,Aquatics,RSA,male,21/05/1992,24.2,1.88,80
Aleksandr Krasnykh,Aquatics,RUS,male,19/06/1995,21.1,1.88,80
Artem Ermakov,Volleyball,RUS,male,16/03/1982,34.4,1.88,80
Victoria Zhilinskayte,Handball,RUS,female,06/03/1989,27.4,1.88,80
Richard Nagy,Aquatics,SVK,male,09/03/1993,23.4,1.88,80
Astrit Ajdarevic,Football,SWE,male,17/04/1990,26.3,1.88,80
Fredrik Petersen,Handball,SWE,male,27/08/1983,33,1.88,80
Richard Thompson,Athletics,TTO,male,06/07/1985,31.1,1.88,80
Emily Regan,Rowing,USA,female,10/06/1988,28.2,1.88,80
Grant Irvine,Aquatics,AUS,male,17/03/1991,25.4,1.87,80
Bruno Fratus,Aquatics,BRA,male,30/06/1989,27.1,1.87,80
Mathias Muller,Hockey,GER,male,03/04/1992,24.4,1.87,80
Filippo Magnini,Aquatics,ITA,male,02/02/1982,34.5,1.87,80
Martina Guiggi,Volleyball,ITA,female,01/05/1984,32.3,1.87,80
Riccardo de Luca,Modern Pentathlon,ITA,male,22/03/1986,30.4,1.87,80
Deividas Margevicius,Aquatics,LTU,male,26/04/1995,21.3,1.87,80
Grzegorz Lomacz,Volleyball,POL,male,01/10/1987,28.9,1.87,80
Piotr Pazinski,Taekwondo,POL,male,07/08/1987,29,1.87,80
Paciencia,Football,POR,male,01/08/1994,22,1.87,80
Gabriela Perianu,Handball,ROU,female,20/06/1994,22.1,1.87,80
Luigi Teilemb,Rowing,VAN,male,25/02/1992,24.5,1.87,80
Aran Zalewski,Hockey,AUS,male,21/03/1991,25.4,1.86,80
Iain Jensen,Sailing,AUS,male,23/05/1988,28.2,1.86,80
Marcio Carvalho Jorge,Equestrian,BRA,male,28/01/1975,41.5,1.86,80
Rodrigo Dourado,Football,BRA,male,17/06/1994,22.2,1.86,80
Uilson,Football,BRA,male,28/04/1994,22.3,1.86,80
Biao Chai,Badminton,CHN,male,10/10/1990,25.8,1.86,80
Marin Draganja,Tennis,CRO,male,13/05/1991,25.2,1.86,80
Ander Elosegi,Canoe,ESP,male,14/11/1987,28.7,1.86,80
Tony Parker,Basketball,FRA,male,17/05/1982,34.2,1.86,80
John Jermyn,Hockey,IRL,male,30/03/1982,34.4,1.86,80
Hiroki Ogita,Athletics,JPN,male,30/12/1987,28.6,1.86,80
Yongwoo Park,Football,KOR,male,10/09/1993,22.9,1.86,80
Juozas Bernotas,Sailing,LTU,male,23/04/1989,27.3,1.86,80
Jorge Quinones,Volleyball,MEX,male,13/11/1981,34.8,1.86,80
Maksim Inic,Aquatics,MNE,male,26/05/1996,20.2,1.86,80
Eelco Sintnicolaas,Athletics,NED,male,07/04/1987,29.4,1.86,80
Simon Child,Hockey,NZL,male,16/04/1988,28.3,1.86,80
Szymon Staskiewicz,Modern Pentathlon,POL,male,03/01/1987,29.6,1.86,80
Pite,Football,POR,male,22/08/1994,22,1.86,80
Amini Tuitavake Fonua,Aquatics,TGA,male,14/12/1989,26.7,1.86,80
Ramil Guliyev,Athletics,TUR,male,29/05/1990,26.2,1.86,80
Justin Gatlin,Athletics,USA,male,10/02/1982,34.5,1.86,80
Scott Keach,Equestrian,AUS,male,21/04/1965,51.3,1.85,80
Jiwei Zhao,Basketball,CHN,male,25/08/1995,21,1.85,80
Eslam Eissa,Handball,EGY,male,02/07/1988,28.1,1.85,80
Gerardo Menendez Mieres,Equestrian,ESP,male,11/09/1976,39.9,1.85,80
Ojie Edoburun,Athletics,GBR,male,02/06/1996,20.2,1.85,80
Nikoloz Basilashvili,Tennis,GEO,male,23/02/1992,24.5,1.85,80
Erik Heil,Sailing,GER,male,10/08/1989,27,1.85,80
Jannik Huth,Football,GER,male,15/04/1994,22.3,1.85,80
Max Hess,Athletics,GER,male,13/07/1996,20.1,1.85,80
