name,sport,nationality,sex,date_of_birth,age,height,weight
Daniel Natea,Judo,ROU,male,21/04/1992,24.3,2.03,170
Behdad Salimikordasiabi,Weightlifting,IRI,male,08/12/1989,26.7,1.92,170
Ivan Emilianov,Athletics,MDA,male,19/02/1977,39.5,2.02,165
Fernando Salas Manguis,Weightlifting,ECU,male,10/02/1988,28.5,1.86,163
Rafael Silva,Judo,BRA,male,11/05/1987,29.3,2.03,160
Peter Nagy,Weightlifting,HUN,male,16/01/1986,30.6,1.92,159
Mason Finley,Athletics,USA,male,07/10/1990,25.8,2.04,157
Lasha Talakhadze,Weightlifting,GEO,male,02/10/1993,22.9,1.97,157
Daniel Stahl,Athletics,SWE,male,27/08/1992,24,2,155
Fernando Saraiva Reis,Weightlifting,BRA,male,10/03/1990,26.4,1.85,155
Tsanko Arnaudov,Athletics,POR,male,14/03/1992,24.4,1.98,154
Shih-Chieh Chen,Weightlifting,TPE,male,27/11/1989,26.7,1.9,152
Ruben Aleksanyan,Weightlifting,ARM,male,14/03/1990,26.4,1.8,152
Mart Seim,Weightlifting,EST,male,24/10/1990,25.8,1.85,149
Almir Velagic,Weightlifting,GER,male,22/08/1981,35,1.83,149
Kunathip Yea-On,Judo,THA,male,18/08/1995,21,1.93,148
Rustam Djangabaev,Weightlifting,UZB,male,25/08/1993,23,1.83,146
Darrell Hill,Athletics,USA,male,17/08/1993,23,1.91,145
Hojamuhammet Toychyyev,Weightlifting,TKM,male,16/01/1992,24.6,1.86,145
Ivan Ivanov,Athletics,KAZ,male,03/01/1992,24.6,2.02,144
Ahmed Mohamed,Weightlifting,EGY,male,27/04/1988,28.3,1.85,144
Gor Minasyan,Weightlifting,ARM,male,25/10/1994,21.8,1.8,144
Man Asaad,Weightlifting,SYR,male,20/11/1993,22.7,1.9,143
Sarah Elizabeth Robles,Weightlifting,USA,female,01/08/1988,28,1.78,143
Tomasz Majewski,Athletics,POL,male,30/08/1981,35,2.04,142
Tim Nedow,Athletics,CAN,male,16/10/1990,25.8,2,140
Damien Birkinhead,Athletics,AUS,male,08/04/1993,23.3,1.9,140
Deo Gracia Ngokaba,Judo,CGO,male,17/05/1997,19.2,1.9,140
Asmir Kolasinac,Athletics,SRB,male,15/10/1984,31.8,1.87,140
Yavuz Ilnam,Shooting,TUR,male,23/07/1987,29.1,1.85,140
Borja Vivas,Athletics,ESP,male,26/05/1984,32.2,2.04,139
Teddy Riner,Judo,FRA,male,07/04/1989,27.3,2.03,139
Alexej Prochorow,Weightlifting,GER,male,30/03/1990,26.4,1.91,138
Konrad Bukowiecki,Athletics,POL,male,17/03/1997,19.4,1.91,138
Georgi Ivanov,Athletics,BUL,male,13/03/1985,31.4,1.88,138
Gregory Echenique,Basketball,VEN,male,23/11/1990,25.7,2.06,137
Lukas Weisshaidinger,Athletics,AUT,male,20/02/1992,24.5,1.96,136
Aliaksei Mzhachyk,Weightlifting,BLR,male,30/06/1996,20.1,1.9,136
Irakli Turmanidze,Weightlifting,GEO,male,13/12/1984,31.7,1.82,136
Michelle Carter,Athletics,USA,female,12/10/1985,30.8,1.76,136
Vikas Gowda,Athletics,IND,male,05/07/1983,33.1,2.05,135
Axel Harstedt,Athletics,SWE,male,28/02/1987,29.5,1.97,135
Ushangi Kokauri,Judo,AZE,male,10/01/1992,24.6,1.95,135
Michal Haratyk,Athletics,POL,male,10/04/1992,24.3,1.94,135
Hebert Brol,Shooting,GUA,male,10/01/1980,36.6,1.81,135
Stipe Zunic,Athletics,CRO,male,13/12/1990,25.7,1.93,134
Joe Kovacs,Athletics,USA,male,28/06/1989,27.1,1.83,133
Zoltan Kovago,Athletics,HUN,male,10/04/1979,37.3,2.04,132
Abdullo Tangriev,Judo,UZB,male,28/03/1981,35.4,1.9,132
Santa Pakenyte,Judo,LTU,female,11/12/1990,25.7,1.86,132
Miroslav Raduljica,Basketball,SRB,male,05/01/1988,28.6,2.13,130
Andrius Gudzius,Athletics,LTU,male,14/02/1991,25.5,2,130
Maciej Sarnacki,Judo,POL,male,10/02/1987,29.5,2,130
Franck Elemba,Athletics,CGO,male,21/07/1990,26.1,1.98,130
Mijain Lopez Nunez,Wrestling,CUB,male,20/08/1982,34,1.98,130
Nurmakhan Tinaliyev,Wrestling,KAZ,male,10/01/1988,28.6,1.98,130
Ihor Shymechko,Weightlifting,UKR,male,27/05/1986,30.2,1.97,130
Oleksandr Chernetskyy,Wrestling,UKR,male,17/02/1984,32.5,1.95,130
Piotr Malachowski,Athletics,POL,male,07/06/1983,33.2,1.93,130
Sabah Shariati,Wrestling,AZE,male,01/01/1989,27.6,1.92,130
Barna Bor,Judo,HUN,male,12/12/1986,29.7,1.91,130
Sungmin Kim,Judo,KOR,male,29/06/1987,29.1,1.9,130
Muminjon Abdullaev,Wrestling,UZB,male,24/12/1989,26.6,1.9,130
Adam Okruashvili,Judo,GEO,male,01/01/1989,27.6,1.89,130
Bashir Asgari Babajanzadeh Darzi,Wrestling,IRI,male,20/08/1989,27,1.88,130
Iakobi Kajaia,Wrestling,GEO,male,28/09/1993,22.9,1.87,130
Sergey Semenov,Wrestling,RUS,male,10/08/1995,21,1.87,130
Hamza Alic,Athletics,BIH,male,20/01/1979,37.6,1.86,130
Ramon Pileta,Judo,HON,male,20/03/1977,39.4,1.85,130
Erwin Jose Caraballo Cabrera,Wrestling,VEN,male,21/07/1981,35.1,1.85,130
Pierre Plihon,Archery,FRA,male,29/10/1989,26.8,1.84,130
Igor Olshanetskyi,Weightlifting,ISR,male,16/02/1986,30.5,1.84,130
Daniel Allerstorfer,Judo,AUT,male,04/12/1992,23.7,1.83,130
Riza Kayaalp,Wrestling,TUR,male,10/10/1989,26.8,1.82,130
Iurii Krakovetskii,Judo,KGZ,male,27/08/1992,24,1.8,130
Daniel Repacholi,Shooting,AUS,male,15/05/1982,34.2,2.02,128
Wojciech Nowicki,Athletics,POL,male,22/02/1989,27.5,1.96,128
Eduard Popp,Wrestling,GER,male,16/06/1991,25.2,1.9,128
Song Yu,Judo,CHN,female,06/08/1986,30,1.82,128
German Lauro,Athletics,ARG,male,02/04/1984,32.4,1.86,127
Felisha Johnson,Athletics,USA,female,24/07/1989,27.1,1.86,127
Robert Timothy David Smith,Wrestling,USA,male,30/01/1987,29.5,1.83,127
Shelbi Vaughan,Athletics,USA,female,24/08/1994,22,1.83,127
Jiri Orsag,Weightlifting,CZE,male,05/01/1989,27.6,1.81,127
Jasmin Kuelbs,Judo,GER,female,07/11/1991,24.8,1.78,127
Robert Harting,Athletics,GER,male,18/10/1984,31.8,2.01,126
Pawel Fajdek,Athletics,POL,male,04/06/1989,27.2,1.86,126
Cristiano Felicio,Basketball,BRA,male,07/07/1992,24.1,2.08,125
Bilyal Makhov,Wrestling,RUS,male,20/09/1987,28.9,2,125
Joe Kayes,Aquatics,AUS,male,03/01/1991,25.6,1.98,125
Geno Petriashvili,Wrestling,GEO,male,01/04/1994,22.4,1.98,125
Gerd Kanter,Athletics,EST,male,06/05/1979,37.3,1.96,125
Aiaal Lazarev,Wrestling,KGZ,male,19/03/1986,30.4,1.95,125
Taha Akgul,Wrestling,TUR,male,22/11/1990,25.7,1.92,125
Andre Breitbarth,Judo,GER,male,06/04/1990,26.4,1.91,125
Hisayoshi Harasawa,Judo,JPN,male,03/07/1992,24.1,1.91,125
Tomas Stanek,Athletics,CZE,male,13/06/1991,25.2,1.9,125
Daulet Shabanbay,Wrestling,KAZ,male,09/08/1983,33,1.9,125
Levan Berianidze,Wrestling,ARM,male,10/10/1990,25.8,1.86,125
Jamaladdin Magomedov,Wrestling,AZE,male,14/03/1989,27.4,1.86,125
Nicholas Scarvelis,Athletics,GRE,male,02/02/1993,23.5,1.86,125
Tomas Walsh,Athletics,NZL,male,01/03/1992,24.4,1.85,125
Florian Skilang Temengil,Wrestling,PLW,male,04/11/1986,29.8,1.85,125
Alen Zasieiev,Wrestling,UKR,male,10/10/1988,27.8,1.85,125
Chuluunbat Jargalsaikhan,Wrestling,MGL,male,03/12/1984,31.7,1.84,125
Ibrahim Saidau,Wrestling,BLR,male,09/03/1985,31.4,1.8,125
Dimitar Angelov Kumchev,Wrestling,BUL,male,20/04/1980,36.3,1.8,125
Diaaeldin Kamal Gouda Abdelmottaleb,Wrestling,EGY,male,02/05/1993,23.3,1.77,125
Vanessa Zambotti,Judo,MEX,female,04/03/1982,34.4,1.75,125
Radhouane Chebbi,Wrestling,TUN,male,08/08/1985,31,1.74,125
Tobias Dahm,Athletics,GER,male,23/05/1987,29.2,2.05,124
Ryan Crouser,Athletics,USA,male,18/12/1992,23.6,2.01,124
Stephen Mozia,Athletics,NGR,male,16/08/1993,23,1.91,124
Tavis Bailey,Athletics,USA,male,06/01/1992,24.6,1.91,124
Temuulen Battulga,Judo,MGL,male,07/10/1988,27.8,1.83,124
Shaimaa Haridy,Weightlifting,EGY,female,01/01/1991,25.6,1.6,124
Christoph Harting,Athletics,GER,male,10/04/1990,26.3,2.07,123
Walid Bidani,Weightlifting,ALG,male,11/06/1994,22.2,1.85,123
DeMarcus Cousins,Basketball,USA,male,13/08/1990,26,2.1,122
Andrew Bogut,Basketball,AUS,male,28/11/1984,31.7,2.07,122
Robert Urbanek,Athletics,POL,male,29/04/1987,29.3,2,122
Tervel Ivaylov Dlagnev,Wrestling,USA,male,19/11/1985,30.7,1.88,122
Qiang Meng,Wrestling,CHN,male,03/07/1987,29.1,1.86,122
Roy Meyer,Judo,NED,male,04/06/1991,25.2,1.86,122
Maryam Usman,Weightlifting,NGR,female,09/11/1990,25.8,1.66,122
Miro Bilan,Basketball,CRO,male,21/07/1989,27.1,2.13,121
Darko Planinic,Basketball,CRO,male,22/11/1990,25.7,2.11,120
Jonas Valanciunas,Basketball,LTU,male,06/05/1992,24.3,2.11,120
DeAndre Jordan,Basketball,USA,male,21/07/1988,28.1,2.11,120
Rafael Hettsheimeir,Basketball,BRA,male,16/06/1986,30.2,2.08,120
Mykyta Nesterenko,Athletics,UKR,male,15/04/1991,25.3,2.08,120
Daniel Jasinski,Athletics,GER,male,05/08/1989,27,2.07,120
Gudni Valur Gudnason,Athletics,ISL,male,11/10/1995,20.8,1.99,120
Oleksiy Semenov,Athletics,UKR,male,27/06/1982,34.1,1.98,120
Kemal Mesic,Athletics,BIH,male,04/08/1985,31,1.96,120
Mesud Pezer,Athletics,BIH,male,27/08/1994,22,1.96,120
Josip Vrlic,Aquatics,BRA,male,25/04/1986,30.3,1.96,120
Yevgeniy Labutov,Athletics,KAZ,male,17/11/1984,31.7,1.94,120
Or Sasson,Judo,ISR,male,18/08/1990,26,1.93,120
Valerie Adams,Athletics,NZL,female,06/10/1984,31.9,1.93,120
Ehsan Hadadi,Athletics,IRI,male,20/01/1985,31.6,1.92,120
Murat Ramonov,Wrestling,KGZ,male,21/07/1990,26.1,1.92,120
Johan Magnus Euren,Wrestling,SWE,male,18/05/1985,31.2,1.92,120
Andrei Gag,Athletics,ROU,male,27/04/1991,25.3,1.91,120
Eduard Soghomonyan,Wrestling,BRA,male,19/02/1990,26.5,1.9,120
Jacko Gill,Athletics,NZL,male,20/12/1994,21.6,1.89,120
Zhiwei Deng,Wrestling,CHN,male,01/02/1988,28.5,1.88,120
Carlos Tobalina,Athletics,ESP,male,02/08/1985,31,1.88,120
Lois Maikel Martinez,Athletics,ESP,male,03/06/1981,35.2,1.87,120
Dilshod Nazarov,Athletics,TJK,male,06/05/1982,34.3,1.87,120
Suhrob Khodjaev,Athletics,UZB,male,21/05/1993,23.2,1.85,120
Esref Apak,Athletics,TUR,male,03/01/1982,34.6,1.84,120
Tugce Sahutoglu,Athletics,TUR,female,01/05/1988,28.3,1.8,120
Yosra Dhieb,Weightlifting,TUN,female,31/08/1995,20.9,1.78,120
O'dayne Richards,Athletics,JAM,male,14/12/1988,27.7,1.77,120
Abdellatif Mohamed Ahmed Mohamed,Wrestling,EGY,male,08/12/1995,20.7,1.76,120
Suping Meng,Weightlifting,CHN,female,17/07/1989,27.1,1.73,120
Andreea Aanei,Weightlifting,ROU,female,18/11/1993,22.7,1.7,120
Martin Kupper,Athletics,EST,male,31/05/1989,27.2,1.98,119
Ondrej Kruzel,Weightlifting,SVK,male,23/08/1988,28,1.9,119
Rachid Sidibe,Judo,BUR,male,02/12/1990,25.7,1.77,119
Huisol Lee,Weightlifting,KOR,female,27/08/1989,27,1.74,119
Kamil Syprzak,Handball,POL,male,23/07/1991,25.1,2.07,118
Cameron Bairstow,Basketball,AUS,male,07/12/1990,25.7,2.06,118
Augusto Lima,Basketball,BRA,male,17/09/1991,24.9,2.06,118
Miguel Marriaga,Basketball,VEN,male,06/06/1984,32.2,2.06,118
Matthew Denny,Athletics,AUS,male,02/06/1996,20.2,1.95,118
Pavel Bareisha,Athletics,BLR,male,16/02/1991,25.5,1.93,118
Danijel Furtula,Athletics,MNE,male,31/07/1992,24,1.93,118
Filip KLIKOVAC,Aquatics,MNE,male,07/02/1989,27.5,1.9,118
Bostjan Macek,Shooting,SLO,male,17/06/1972,44.2,1.74,118
Robertas Javtokas,Basketball,LTU,male,20/03/1980,36.4,2.1,117
David Storl,Athletics,GER,male,27/07/1990,26,1.98,117
Mukhamadmurod Abdurakhmonov,Judo,TJK,male,29/11/1986,29.7,1.92,117
Daniel Ligeti,Wrestling,HUN,male,31/07/1989,27,1.9,117
Amanmurad Hommadov,Athletics,TKM,male,28/01/1989,27.5,1.9,117
Jennifer Frank Casanas,Athletics,ESP,male,18/10/1978,37.8,1.87,117
Heiki Nabi,Wrestling,EST,male,06/06/1985,31.2,1.93,116
Krisztian Pars,Athletics,HUN,male,18/02/1982,34.5,1.88,116
Marco Lingua,Athletics,ITA,male,04/06/1978,38.2,1.77,116
Muhao Li,Basketball,CHN,male,02/06/1992,24.2,2.18,115
Pau Gasol,Basketball,ESP,male,06/07/1980,36.1,2.15,115
Willy Hernangomez,Basketball,ESP,male,27/05/1994,22.2,2.1,115
Finn Lemke,Handball,GER,male,30/04/1992,24.3,2.1,115
Joffrey Lauvergne,Basketball,FRA,male,30/09/1991,24.9,2.09,115
Nikola Jokic,Basketball,SRB,male,19/02/1995,21.5,2.09,115
Aron Baynes,Basketball,AUS,male,09/12/1986,29.7,2.07,115
Nicolas le Goff,Volleyball,FRA,male,15/02/1992,24.5,2.06,115
Damir Buric,Aquatics,CRO,male,02/12/1980,35.7,2.05,115
Ike Diogu,Basketball,NGR,male,11/09/1983,32.9,2.04,115
Alex Roelse,Aquatics,USA,male,10/01/1995,21.6,2.04,115
Boris Diaw,Basketball,FRA,male,16/04/1982,34.3,2.03,115
Adam Decker,Aquatics,HUN,male,29/02/1984,32.5,2.03,115
Josef Dostal,Canoe,CZE,male,03/03/1993,23.4,2.02,115
Andro Buslje,Aquatics,CRO,male,04/01/1986,30.6,2,115
Benn Harradine,Athletics,AUS,male,14/10/1982,33.8,1.98,115
Robert Elder,Archery,FIJ,male,25/04/1981,35.3,1.94,115
Gabor Kis,Aquatics,HUN,male,27/09/1982,33.9,1.94,115
Korey Jarvis,Wrestling,CAN,male,04/10/1986,29.9,1.88,115
Chris Bennett,Athletics,GBR,male,17/12/1989,26.7,1.88,115
Benik Abrahamyan,Athletics,GEO,male,31/07/1985,31,1.86,115
Komeil Nemat Ghasemi,Wrestling,IRI,male,27/02/1988,28.5,1.86,115
Ka Bian,Athletics,CHN,female,05/01/1993,23.6,1.82,115
Subenrat Insaeng,Athletics,THA,female,10/02/1994,22.5,1.82,115
Alberto Fernandez,Shooting,ESP,male,16/06/1983,33.2,1.8,115
Christina Schwanitz,Athletics,GER,female,24/12/1985,30.6,1.8,115
Gagan Narang,Shooting,IND,male,06/05/1983,33.3,1.8,115
Kelsey Card,Athletics,USA,female,20/08/1992,24,1.78,115
Antanas Kavaliauskas,Basketball,LTU,male,19/09/1984,31.9,2.08,114
Filip Mihaljevic,Athletics,CRO,male,31/07/1994,22,2.01,114
Matej Gaber,Handball,SLO,male,22/07/1991,25.1,1.97,114
Andreas Nilsson,Handball,SWE,male,12/04/1990,26.3,1.97,114
Michael Maskell,Shooting,BAR,male,24/11/1966,49.7,1.75,114
Yaniuska Isabel Espinosa,Weightlifting,VEN,female,05/12/1986,29.7,1.72,114
Rudy Gobert,Basketball,FRA,male,26/06/1992,24.1,2.15,113
Jianlian Yi,Basketball,CHN,male,27/10/1987,28.8,2.13,113
Nene Hilario,Basketball,BRA,male,13/09/1982,33.9,2.11,113
Andrew Evans,Athletics,USA,male,25/01/1991,25.5,1.99,113
John Mann,Aquatics,USA,male,27/06/1985,31.1,1.99,113
Akira Ioane,Rugby Sevens,NZL,male,16/06/1995,21.2,1.94,113
Vladimir Stimac,Basketball,SRB,male,25/08/1987,29,2.11,112
Marko Kopljar,Handball,CRO,male,12/02/1986,30.5,2.1,112
Jakov Gojun,Handball,CRO,male,18/04/1986,30.3,2.03,112
Mateusz Kus,Handball,POL,male,14/07/1987,29.1,2,112
Ivan Pesic,Handball,CRO,male,17/03/1989,27.4,1.94,112
Nick Miller,Athletics,GBR,male,01/05/1993,23.3,1.88,112
Mark Dry,Athletics,GBR,male,11/10/1987,28.8,1.84,112
Brittany Crew,Athletics,CAN,female,06/03/1994,22.4,1.78,112
Michal Jurecki,Handball,POL,male,27/10/1984,31.8,1.98,111
Wisam Nawar,Handball,EGY,male,14/02/1990,26.5,1.85,111
Roberto Sawyers,Athletics,CRC,male,17/10/1986,29.8,1.82,111
Dario Saric,Basketball,CRO,male,08/04/1994,22.3,2.07,110
Borja Fernandez,Handball,QAT,male,25/12/1981,34.6,2.06,110
Evan Van Moerkerke,Aquatics,CAN,male,16/08/1993,23,2.05,110
Windi Graterol,Basketball,VEN,male,10/09/1986,29.9,2.05,110
Nestor Colmenares,Basketball,VEN,male,05/09/1987,28.9,2.03,110
Mohamed Sbihi,Rowing,GBR,male,27/03/1988,28.4,2.02,110
Balazs Harai,Aquatics,HUN,male,05/04/1987,29.4,2.02,110
Saulius Ritter,Rowing,LTU,male,23/08/1988,28,2.02,110
Patrick Wiencek,Handball,GER,male,22/03/1989,27.4,2,110
Jesper Nielsen,Handball,SWE,male,30/09/1989,26.9,2,110
Philip Milanov,Athletics,BEL,male,06/07/1991,25.1,1.98,110
Andreas Wolff,Handball,GER,male,03/03/1991,25.4,1.98,110
Julius Kuhn,Handball,GER,male,01/04/1993,23.4,1.98,110
Gen Li,Basketball,CHN,male,15/08/1988,28,1.96,110
Thormodur Jonsson,Judo,ISL,male,02/03/1983,33.5,1.96,110
Siarhei Kalamoyets,Athletics,BLR,male,11/08/1989,27,1.92,110
Cedric Sorhaindo,Handball,FRA,male,07/06/1984,32.2,1.92,110
Marouen Maggaiz,Handball,TUN,male,28/07/1983,33,1.92,110
Vinicius Teixeira,Handball,BRA,male,03/04/1988,28.4,1.88,110
Ricard Alarcon Tevar,Aquatics,ESP,male,18/08/1991,25,1.88,110
Javier Cienfuegos,Athletics,ESP,male,15/07/1990,26.1,1.87,110
Issam Tej,Handball,TUN,male,29/07/1979,37,1.87,110
Ivan Tsikhan,Athletics,BLR,male,24/07/1976,40.1,1.86,110
Alex Garcia Mendoza,Judo,CUB,male,02/06/1993,23.2,1.86,110
Apostolos Parellis,Athletics,CYP,male,24/07/1985,31.1,1.86,110
Lukas Melich,Athletics,CZE,male,16/09/1980,35.9,1.86,110
Arturs Nikiforenko,Judo,LAT,male,03/05/1992,24.3,1.85,110
Emel Dereli,Athletics,TUR,female,25/02/1996,20.5,1.81,110
Jennifer Dahlgren,Athletics,ARG,female,21/04/1984,32.3,1.8,110
Massimo Fabbrizi,Shooting,ITA,male,27/08/1977,39,1.77,110
Larisa Ceric,Judo,BIH,female,26/01/1991,25.5,1.76,110
Maria Suelen Altheman,Judo,BRA,female,12/08/1988,28,1.75,110
Younghee Son,Weightlifting,KOR,female,24/04/1993,23.3,1.73,110
Sardorbek Dusmurotov,Weightlifting,UZB,male,13/03/1993,23.4,1.68,110
Roberto Acuna,Basketball,ARG,male,14/09/1990,25.9,2.08,109
Domantas Sabonis,Basketball,LTU,male,03/05/1996,20.3,2.08,109
Felipe Reyes,Basketball,ESP,male,16/03/1980,36.4,2.04,109
Carmelo Anthony,Basketball,USA,male,29/05/1984,32.2,2.03,109
Marko Mamic,Handball,CRO,male,06/03/1994,22.4,2.02,109
Leone Nakarawa,Rugby Sevens,FIJ,male,02/04/1988,28.4,1.98,109
Sasa MISIC,Aquatics,MNE,male,27/03/1987,29.4,1.98,109
Konstantinos Mourikis,Aquatics,GRE,male,11/07/1988,28.1,1.97,109
Ilija Brozovic,Handball,CRO,male,26/05/1991,25.2,1.96,109
Marko Macan,Aquatics,CRO,male,26/04/1993,23.3,1.96,109
Jose Vargas,Basketball,VEN,male,23/01/1982,34.6,1.96,109
Marouan Chouiref,Handball,TUN,male,27/05/1990,26.2,1.95,109
Luis Scola,Basketball,ARG,male,30/04/1980,36.3,2.04,108
Luka Karabatic,Handball,FRA,male,19/04/1988,28.3,2.02,108
Cristi-Ilie Pirghie,Rowing,ROU,male,20/07/1992,24.1,2.02,108
Blaz Blagotinsek,Handball,SLO,male,17/01/1994,22.6,2.02,108
Benjamin Hallock,Aquatics,USA,male,22/11/1997,18.7,1.99,108
Angel Fournier Rodriguez,Rowing,CUB,male,31/12/1987,28.6,1.98,108
Cyrille Maret,Judo,FRA,male,11/08/1987,29,1.89,108
Rudy Winkler,Athletics,USA,male,06/12/1994,21.7,1.88,108
Stephen Lambdin,Taekwondo,USA,male,09/03/1988,28.4,1.88,108
Josua Tuisova,Rugby Sevens,FIJ,male,04/02/1994,22.5,1.8,108
Kanae Yamabe,Judo,JPN,female,22/09/1990,25.9,1.72,108
Raven Saunders,Athletics,USA,female,15/05/1996,20.2,1.66,108
Brock Motum,Basketball,AUS,male,16/10/1990,25.8,2.08,107
Victor Claver,Basketball,ESP,male,30/08/1988,28,2.06,107
Eder Carbonera,Volleyball,BRA,male,19/10/1983,32.8,2.05,107
Milan Macvan,Basketball,SRB,male,16/11/1989,26.7,2.05,107
Andy Ogide,Basketball,NGR,male,01/10/1987,28.9,2.04,107
Yuchen Zou,Basketball,CHN,male,05/07/1996,20.1,2.03,107
Georgi Bozhilov,Rowing,BUL,male,09/04/1989,27.3,2.01,107
Gabriel Deck,Basketball,ARG,male,08/02/1995,21.5,1.97,107
Aleksandar IVOVIC,Aquatics,MNE,male,24/02/1986,30.5,1.97,107
Alexandro Pozzer,Handball,BRA,male,21/12/1988,27.6,1.92,107
Bartosz Jurecki,Handball,POL,male,31/01/1979,37.5,1.92,107
Juliano Fiori,Rugby Sevens,BRA,male,27/06/1985,31.1,1.91,107
Andrew Durutalo,Rugby Sevens,USA,male,25/10/1987,28.8,1.88,107
Kun-Pi Yang,Shooting,TPE,male,11/08/1998,18,1.86,107
Tracey Lambrechs,Weightlifting,NZL,female,27/08/1985,31,1.67,107
Gavin Schmitt,Volleyball,CAN,male,27/01/1986,30.5,2.08,106
Leo Mainoldi,Basketball,ARG,male,04/03/1985,31.4,2.04,106
Ivan Popov,Wrestling,AUS,male,25/05/1986,30.2,2.03,106
Karol Bielecki,Handball,POL,male,23/01/1982,34.6,2.02,106
Rafael Capote,Handball,QAT,male,05/10/1987,28.9,1.98,106
George Palamariu,Rowing,ROU,male,17/03/1991,25.4,1.97,106
Slobodan Nikic,Aquatics,SRB,male,25/01/1983,33.6,1.97,106
Balasz Sziranyi Somogyi,Aquatics,ESP,male,10/01/1983,33.6,1.96,106
Viliame Mata,Rugby Sevens,FIJ,male,22/10/1991,24.8,1.96,106
Conor McCullough,Athletics,USA,male,31/01/1991,25.5,1.96,106
Luka Loncar,Aquatics,CRO,male,26/06/1987,29.1,1.95,106
Sonny Bill Williams,Rugby Sevens,NZL,male,03/08/1985,31,1.94,106
Humphrey Kayange,Rugby Sevens,KEN,male,20/07/1982,34.1,1.93,106
Paul Drux,Handball,GER,male,07/02/1995,21.5,1.92,106
Mads Mensah Larsen,Handball,DEN,male,12/08/1991,25,1.88,106
Roberto Janet,Athletics,CUB,male,29/08/1986,30,1.87,106
Marcel Lomnicky,Athletics,SVK,male,06/07/1987,29.1,1.77,106
Kiradech Aphibarnrat,Golf,THA,male,23/07/1989,27.1,1.72,106
Mohamed Masoud,Volleyball,EGY,male,01/05/1994,22.3,2.11,105
Kim Tillie,Basketball,FRA,male,15/07/1988,28.1,2.11,105
Evandro Goncalves Oliveira Junior,Volleyball,BRA,male,17/07/1990,26.1,2.1,105
Marcos Delia,Basketball,ARG,male,08/04/1992,24.3,2.09,105
Robert Fuchs,Rowing,POL,male,12/06/1991,25.2,2.09,105
Marko Arapovic,Basketball,CRO,male,20/07/1996,20.1,2.07,105
Paulius Jankunas,Basketball,LTU,male,29/04/1984,32.3,2.05,105
Arman-Marshall Silla,Taekwondo,BLR,male,13/07/1994,22.1,2.03,105
Zeljko Sakic,Basketball,CRO,male,14/04/1988,28.3,2.03,105
Enzo Khasz,Aquatics,FRA,male,13/08/1993,23,2.03,105
Nicolas Batum,Basketball,FRA,male,14/12/1988,27.7,2.03,105
Christian Dissinger,Handball,GER,male,15/11/1991,24.7,2.03,105
David Lee,Volleyball,USA,male,08/03/1982,34.4,2.03,105
Adrien Dipanda,Handball,FRA,male,03/05/1988,28.3,2.02,105
Marton Vamos,Aquatics,HUN,male,24/06/1992,24.1,2.02,105
Constantin Adam,Rowing,ROU,male,12/07/1996,20.1,2.02,105
Andrey Ashchev,Volleyball,RUS,male,10/05/1983,33.3,2.02,105
Damir Dugonjic,Aquatics,SLO,male,21/02/1988,28.5,2.02,105
Dusan Mandic,Aquatics,SRB,male,16/06/1994,22.2,2.02,105
Henrik Toft Hansen,Handball,DEN,male,18/12/1986,29.7,2,105
Rene Toft Hansen,Handball,DEN,male,01/11/1984,31.8,2,105
Kim Andersson,Handball,SWE,male,21/08/1982,34,2,105
Ondrej Synek,Rowing,CZE,male,13/10/1982,33.8,1.99,105
Alberto Munarriz Egana,Aquatics,ESP,male,19/05/1994,22.2,1.98,105
Paulo Bernardo Reichardt,Shooting,PAR,male,08/08/1960,56,1.98,105
Dmytro Kosynskyy,Athletics,UKR,male,31/03/1989,27.4,1.98,105
Leonardo Querin,Handball,ARG,male,17/04/1982,34.3,1.97,105
Kresimir Kozina,Handball,CRO,male,25/06/1990,26.1,1.97,105
Lukas Krpalek,Judo,CZE,male,15/11/1990,25.7,1.97,105
Wael Jallouz,Handball,TUN,male,03/05/1991,25.3,1.97,105
Alex Obert,Aquatics,USA,male,18/12/1991,24.6,1.96,105
Islam El Shehaby,Judo,EGY,male,01/08/1982,34,1.95,105
Guillermo Molina Rios,Aquatics,ESP,male,16/03/1984,32.4,1.95,105
Roger Tahull Compte,Aquatics,ESP,male,11/05/1997,19.2,1.95,105
James Rodwell,Rugby Sevens,GBR,male,23/08/1984,32,1.95,105
Yevhen Vynohradov,Athletics,UKR,male,30/04/1984,32.3,1.95,105
Bobur Shokirjonov,Athletics,UZB,male,05/12/1990,25.7,1.95,105
Juan Carlos Cabrera,Rowing,MEX,male,09/11/1991,24.8,1.94,105
Jesse Smith,Aquatics,USA,male,27/04/1983,33.3,1.94,105
Ivan Stevanovic,Handball,CRO,male,18/05/1982,34.2,1.93,105
Albertina Cruz Kassoma,Handball,ANG,female,12/06/1996,20.2,1.92,105
Alin Alexuc Ciurariu,Wrestling,ROU,male,03/02/1990,26.5,1.91,105
Ro Dakuwaqa,Rugby Sevens,FIJ,male,14/02/1994,22.5,1.9,105
Efthimios Mitas,Shooting,GRE,male,15/05/1985,31.2,1.9,105
Miklos Cirjenics,Judo,HUN,male,11/03/1990,26.4,1.9,105
Rieko Ioane,Rugby Sevens,NZL,male,18/03/1997,19.4,1.9,105
Savenaca Rawaca,Rugby Sevens,FIJ,male,20/08/1991,25,1.89,105
